# number of observations n 
 200 
# number of categories m 
 3 
# dimension of parameter vector p 
 2 
# number of groups ngp 
 10 
# response counts Y 
2 0 18
1 7 12
2 1 17
1 1 18
4 0 16
0 0 20
1 2 17
0 2 18
0 0 20
3 7 10
3 5 12
0 1 19
2 13 5
1 2 17
5 3 12
0 0 20
6 4 10
2 11 7
0 1 19
1 5 14
3 0 17
4 0 16
1 3 16
3 1 16
2 1 17
2 0 18
3 1 16
0 0 20
3 2 15
2 1 17
3 3 14
1 0 19
0 0 20
1 0 19
1 0 19
3 2 15
3 2 15
1 0 19
2 0 18
0 1 19
0 5 15
5 1 14
1 5 14
1 18 1
0 4 16
5 3 12
1 3 16
2 12 6
2 7 11
5 2 13
4 14 2
2 9 9
1 14 5
3 3 14
3 6 11
1 4 15
1 9 10
1 4 15
1 10 9
3 7 10
0 20 0
0 19 1
0 20 0
0 20 0
0 18 2
0 20 0
0 20 0
0 19 1
0 20 0
0 20 0
0 20 0
0 20 0
0 18 2
0 19 1
0 17 3
0 18 2
0 18 2
0 20 0
0 17 3
0 20 0
4 5 11
2 3 15
2 14 4
4 1 15
3 9 8
3 4 13
2 5 13
3 3 14
3 2 15
0 0 20
5 2 13
3 5 12
3 17 0
4 10 6
3 0 17
3 4 13
4 2 14
4 0 16
5 2 13
2 18 0
3 14 3
1 18 1
2 5 13
2 18 0
3 12 5
0 19 1
0 20 0
0 19 1
5 11 4
5 12 3
0 17 3
0 20 0
0 15 5
1 16 3
1 18 1
0 20 0
1 10 9
1 19 0
0 19 1
1 19 0
4 7 9
2 16 2
2 4 14
0 18 2
4 7 9
0 9 11
0 12 8
4 11 5
2 14 4
3 9 8
0 19 1
1 0 19
2 6 12
4 14 2
1 13 6
6 8 6
1 10 9
1 17 2
3 10 7
1 5 14
3 9 8
2 18 0
1 19 0
3 12 5
0 19 1
0 19 1
2 18 0
1 14 5
1 13 6
0 18 2
1 17 2
0 20 0
1 16 3
1 19 0
1 14 5
0 20 0
2 17 1
0 18 2
1 15 4
0 17 3
0 14 6
0 18 2
2 5 13
3 12 5
3 2 15
0 1 19
2 3 15
0 6 14
0 11 9
1 11 8
0 13 7
0 11 9
0 6 14
1 11 8
1 9 10
1 2 17
1 8 11
2 9 9
0 10 10
1 8 11
2 0 18
3 1 16
9 7 4
4 1 15
4 7 9
4 0 16
6 1 13
3 15 2
0 0 20
1 2 17
5 4 11
2 0 18
4 1 15
1 0 19
2 2 16
2 2 16
1 5 14
8 3 9
7 5 8
5 2 13
# model/design matrix X 
1 0.948096976987351
1 -0.889990758307839
1 0.476201079530267
1 0.348913288907256
1 -0.553107275820254
1 2.11213265868862
1 0.527821729743629
1 -0.611305592185124
1 1.16277782218488
1 -1.51216864192228
1 -0.951297649727388
1 0.692937655100716
1 -1.95178197724196
1 0.896903773458492
1 -0.195371333971167
1 1.03993398290947
1 -1.28107441850386
1 -1.97701269778272
1 0.992146807357129
1 0.0647361311149823
1 -0.360766181245054
1 -0.657988922541396
1 -0.27191147507056
1 0.142191066169239
1 0.2160211454562
1 1.27015245267454
1 -0.065433399398577
1 -0.109023723022823
1 -0.114839976066423
1 0.93683467799083
1 -1.45329049487621
1 0.85593456279894
1 0.664431162023305
1 0.547737254485631
1 0.926048279917503
1 -0.418372496510348
1 -0.565206325427709
1 1.25501345009384
1 0.245131291231033
1 -0.0529724864791116
1 0.935540092061901
1 0.867998890397167
1 0.599453765316034
1 -1.5702639383905
1 0.270527295213828
1 -0.164507493378521
1 0.34970821598475
1 -0.557100776830924
1 0.0282187191017306
1 0.592128599767698
1 -1.01655357524465
1 -0.578297183817325
1 -1.20189834223571
1 0.875536208956225
1 0.577026815638279
1 1.04779925646652
1 -0.640650000080601
1 0.700361017271147
1 0.123793487967072
1 -0.53772709334666
1 -0.519493129407141
1 0.365858751252407
1 -2.12557853605569
1 0.0766072220015715
1 1.42798787472336
1 0.38011569109257
1 0.440413359761898
1 -0.551274885149618
1 -1.27719256916267
1 -1.15777965297631
1 -0.320631609364555
1 0.249284615117854
1 0.167875849793289
1 0.650646206895954
1 1.6682094026903
1 1.62550428460527
1 1.85074403782113
1 0.612231835606303
1 2.33973495363979
1 -0.579154213533812
1 0.00988747027080752
1 0.138619261405351
1 -1.83256054053569
1 1.68480431243117
1 -0.837701608326033
1 0.365084283540729
1 0.748600941510842
1 0.0634386026610596
1 0.264067878417646
1 1.72569491824223
1 0.858713069952698
1 -0.612468079891129
1 -2.13083596654424
1 -0.796581347305939
1 1.16213170449802
1 0.531729382673716
1 -0.00990247383804874
1 1.5372809059016
1 0.214718274720739
1 -2.14832165806654
1 0.335964941639066
1 -0.367169946169469
1 2.65528637600947
1 -1.03684580615506
1 1.57475762966162
1 -0.941190374297212
1 -0.949480995197504
1 -0.683816507257786
1 1.54929583911786
1 0.518289772703923
1 0.381700221383857
1 -0.740869295040813
1 -0.136993872037001
1 0.720564902737645
1 -1.15431770392189
1 0.0185274731879695
1 1.8140691609043
1 -1.78119977999671
1 -0.419240409379598
1 -0.607591035934289
1 0.291354389637162
1 -1.23305547576074
1 0.983399182663775
1 -1.54408272448459
1 0.738157789776017
1 0.445038092640322
1 -0.327525728067283
1 0.164566592205998
1 -1.7042085112899
1 0.0834325877941248
1 -1.52727496293602
1 3.13590194407945
1 -0.00248401501007039
1 -1.28966057536475
1 -0.621114737538836
1 0.593878995867474
1 0.509299286998464
1 -0.573630953683787
1 -0.845634847249148
1 0.670834839854409
1 1.53217826258539
1 -0.887063286586329
1 -0.81823541097542
1 0.980089399874124
1 0.493543708442568
1 -0.132734882934384
1 -1.70555487434867
1 1.26684024726689
1 0.68123188062151
1 -0.405274958571089
1 0.789724470416429
1 -0.334531368020143
1 0.578734559668666
1 0.0051990668766616
1 0.225122068586822
1 -0.317169484008179
1 -0.94408227371001
1 -0.533020898082405
1 0.865452183579699
1 0.269009611120351
1 0.0697244439194678
1 -0.968783910082452
1 0.869698396465474
1 -0.55200113859753
1 0.421941354545704
1 2.74743425120802
1 1.20353393909661
1 0.474644620554485
1 -0.274109848544424
1 -0.449910634806602
1 -0.321095909223374
1 -0.0262789427295799
1 0.690555896080224
1 -0.698405226797186
1 0.113124294661756
1 1.85415490351805
1 0.866643337492683
1 -0.45507817174641
1 0.880864510090142
1 0.693243161140342
1 1.07628457450707
1 0.138277266231422
1 -2.38729765022533
1 -0.250888537933417
1 -1.21017576701512
1 -0.00465630214240016
1 -0.113822505139017
1 -2.07617537945232
1 1.33464354410727
